record_id,crm_cd,other_crm_cds,mocodes
839,354,,0929 0930 1822 0100 0922
840,354,,0100 1822 0928
841,354,,1803 1501
842,354,,0377
843,354,,1822 0100 0930 0928 0922
844,812,860,0522
845,420,,1822 0344 1300
846,354,,0100 1822
847,354,,1822 0928
848,354,,0100
849,354,,0100 0917 0928 0929 0922 0930
851,845,,1501
852,354,,1822 0928 0929
853,649,,1822
854,354,,0100 0922 0929 1822
855,812,860,0913 0558 0522 0500
857,354,,1822 0928 0100
858,662,,0701 1202 0100 0344
859,354,,0930 0100 1822
860,354,,0913 0377 0555
861,627,,1259 0448
862,354,,0100
864,354,,0922
865,354,,0377
866,956,,0913
867,354,,1822 0928
868,812,860,1801 0913 1258 0522
869,624,,0416 0446
870,440,,0913 0329 0344 1309 0360
871,354,,1822 1501
872,354,,0377
873,354,,0100
874,354,,0100 0930
875,815,815,0913 0556 1258 0510 0522 0528 0515
876,815,"814, 815",0522 0503 0913 1817
877,354,,0377
878,354,,1822 0100
879,354,,1822
880,354,,0100 0929 0930 1822
881,354,,0929 0922
882,354,,0377
883,624,,1300 1817 0429 0444 0913 0448
884,810,,0913 1259 0533
885,354,,1822
886,812,860,1259 1801 1817 0913 0503
887,440,,0344 1822
888,354,,0100
889,354,,0100 0928 1822
890,740,,1300 0329
891,956,,1906 0913 1817
892,354,,0929
893,354,,0100
894,354,,0928 1822
896,627,,1259 0446 0552
897,354,,1501
898,354,,0377 1822
899,354,,0935 0361
900,354,,0923 0928 1822 0377
901,354,,1822 0930
902,354,,0100 1822 0928
903,354,,0929 0930 0935 0928 1822
904,310,,0358 0344
905,354,,0100 0935 1501 1822
906,815,,0500 0515 1822
907,354,,0377
908,331,,1822 0385 0344
909,354,,0100 0930 1822
910,354,,1822 0100 0930
911,662,,0701 0800 1202
912,352,,1822 0344
913,354,,0930 0922 1822 0344 0100
915,354,,0377 0928 1822
916,626,,0444 0913 2000 1814 0448 0416
918,236,,2000 0400 0408 0448
919,354,,0100 0929 0930
920,354,,1822
921,354,,0100 1822 0929 0930
922,235,,1259 0552 0408 0429 0913
923,354,,0928 1822
924,354,,1822
925,354,,1822 0100
926,440,,0344 1822 1501
927,354,,1822 0929
928,354,,1822 0928
929,220,,1822 0337 0334 1300 0302 0416 0432
931,649,,1202 1822 0923
932,310,,0344
934,121,,1814 0400 0448 0500 0527 0537 2000 0913
935,230,,0400 0431 1822
936,121,,0913 1814 0500 1259
938,354,,0377 1822
939,354,,0100
941,740,,0329
942,354,,0100 1822 0917
943,354,,0100 0930
944,354,,0344 1822 1501 0930 0917
945,956,,0913 1906
946,440,,0344
947,354,,0928 1822
948,341,,0360 0344 0913 1202
950,354,,0929 0922
951,354,,0100
952,354,,0100 1822 0935
953,810,,0913 1814 0533 1259 0416
954,654,,0929 1822
955,235,,0913 0553 0416 0432 0445 0439
956,330,,1607 0321 0344
957,310,,0344 0321
958,661,,1914 1259 1501
959,330,,1602 0344
960,354,,1822 0100 0922 0930
962,236,,1501 2000 1814
963,330,,1609 0344 1307
964,956,,0601 1906
965,845,,1501
966,354,,0917
967,354,,1822 0100 0344
968,845,,1501
969,121,812,0913 0360 0400 1259
970,845,,1501
971,354,,1822 0928
972,354,,0100
973,354,,0100 0922 0930
974,354,,0100
975,354,,1822 0922
976,624,,0416 0444 0417 0554 0555 0602 0360 0913
977,354,,0377
978,442,,1822 0325 0601 0104 0209
979,354,,1822 0100 0344 0930 0928
980,354,,1822 0928
981,821,,0519 0545 0913 0554 2002 1206
982,354,,0935
983,354,,0100 0928 1822 0930
984,354,,1822 0100 0922
985,740,,0329 1822
986,354,,0100 0922 0929 0930 0935 1822
988,812,998,1258 1251 0527 0913 1402
989,626,,0356 0400 0408 0429 1814
990,354,,0100 0930 0929 1822
991,310,,1605 0344 1501
992,354,,0100 0922 0929 1822
993,354,,0377
994,922,,0913
995,845,,1501 1822
996,354,,0344 0360
997,354,,0100 1822
998,649,,0100 1202
999,354,,0100 0344 0928
